CVEGEO	cases	CVE_ENT	vax_pc	ENTIDAD	MUN	Population	sum_cases_7_days	pop	vax_rate	cases_last_7_days_per_100k	prev_per_100k	prev	m_test	m_v	risk_inf_no_mitig_small	risk_inf_testing_no_vax_small	risk_inf_fully_vax_no_test_small	risk_inf_fully_vax_and_test_small	risk_inf_no_mitig_med	risk_inf_testing_no_vax_med	risk_inf_fully_vax_no_test_med	risk_inf_fully_vax_and_test_med	risk_inf_no_mitig_big	risk_inf_testing_no_vax_big	risk_inf_fully_vax_no_test_big	risk_inf_fully_vax_and_test_big
04002	5	04	102.82691145597143	04	002	294077	5	294077	1.0282691145597143	2	17.002349724731957	1.7002349724731957e-4	0.21399999999999997	1.0329276017314373	0.2	0	0.2	0	0.3	0.1	0.4	0.1	0.5	0.1	0.5	0.1
04004	1	04	102.82691145597143	04	004	78170	1	78170	1.0282691145597143	1	12.79263144428809	1.279263144428809e-4	0.21399999999999997	1.0329276017314373	0.1	0	0.1	0	0.3	0.1	0.3	0.1	0.4	0.1	0.4	0.1
04009	1	04	102.82691145597143	04	009	59923	1	59923	1.0282691145597143	2	16.688083039901205	1.6688083039901206e-4	0.21399999999999997	1.0329276017314373	0.2	0	0.2	0	0.3	0.1	0.3	0.1	0.5	0.1	0.5	0.1
05002	1	05	75.4798172475849	05	002	163058	1	163058	0.754798172475849	1	6.132787106428387	6.132787106428387e-5	0.21399999999999997	0.7833895172620507	0.1	0	0	0	0.1	0	0.1	0	0.2	0	0.1	0
05003	2	05	75.4798172475849	05	003	23056	2	23056	0.754798172475849	9	86.74531575294934	8.674531575294934e-4	0.21399999999999997	0.7833895172620507	0.9	0.2	0.7	0.1	1.7	0.4	1.4	0.3	2.6	0.6	2	0.4
05004	2	05	75.4798172475849	05	004	29578	2	29578	0.754798172475849	7	67.61782405842179	6.76178240584218e-4	0.21399999999999997	0.7833895172620507	0.7	0.1	0.5	0.1	1.3	0.3	1.1	0.2	2	0.4	1.6	0.3
05005	1	05	75.4798172475849	05	005	1643	1	1643	0.754798172475849	61	608.6427267194157	0.006086427267194157	0.21399999999999997	0.7833895172620507	5.9	1.3	4.7	1	11.5	2.6	9.1	2	16.7	3.8	13.4	3
05006	8	05	75.4798172475849	05	006	29128	8	29128	0.754798172475849	27	274.64982147761606	0.0027464982147761604	0.21399999999999997	0.7833895172620507	2.7	0.6	2.1	0.5	5.4	1.2	4.2	0.9	7.9	1.7	6.3	1.4
05007	22	05	75.4798172475849	05	007	12715	22	12715	0.754798172475849	173	1730.2398741643728	0.01730239874164373	0.21399999999999997	0.7833895172620507	16	3.6	12.8	2.9	29.5	7.2	23.9	5.6	40.8	10.5	33.6	8.3
05008	1	05	75.4798172475849	05	008	3047	1	3047	0.754798172475849	33	328.1916639317361	0.0032819166393173614	0.21399999999999997	0.7833895172620507	3.2	0.7	2.5	0.5	6.4	1.4	5	1.1	9.4	2.1	7.4	1.6
05009	30	05	75.4798172475849	05	009	59035	30	59035	0.754798172475849	51	508.17311764207676	0.005081731176420768	0.21399999999999997	0.7833895172620507	5	1.1	3.9	0.8	9.7	2.2	7.7	1.7	14.2	3.2	11.3	2.5
05010	43	05	75.4798172475849	05	010	82409	43	82409	0.754798172475849	52	521.78766882258	0.005217876688225801	0.21399999999999997	0.7833895172620507	5.1	1.1	4	0.9	9.9	2.2	7.9	1.7	14.5	3.3	11.6	2.6
05011	2	05	75.4798172475849	05	011	11898	2	11898	0.754798172475849	17	168.09547823163558	0.0016809547823163557	0.21399999999999997	0.7833895172620507	1.7	0.4	1.3	0.3	3.3	0.7	2.6	0.6	4.9	1.1	3.9	0.8
05017	10	05	75.4798172475849	05	017	118337	10	118337	0.754798172475849	8	84.50442380658627	8.450442380658628e-4	0.21399999999999997	0.7833895172620507	0.8	0.2	0.7	0.1	1.7	0.4	1.3	0.3	2.5	0.5	2	0.4
05018	60	05	75.4798172475849	05	018	237951	60	237951	0.754798172475849	25	252.15275413845708	0.002521527541384571	0.21399999999999997	0.7833895172620507	2.5	0.5	2	0.4	4.9	1.1	3.9	0.8	7.3	1.6	5.8	1.3
05020	24	05	75.4798172475849	05	020	71627	24	71627	0.754798172475849	34	335.0691778240049	0.003350691778240049	0.21399999999999997	0.7833895172620507	3.3	0.7	2.6	0.6	6.5	1.4	5.1	1.1	9.6	2.1	7.6	1.7
05022	5	05	75.4798172475849	05	022	33129	5	33129	0.754798172475849	15	150.92517130006942	0.0015092517130006942	0.21399999999999997	0.7833895172620507	1.5	0.3	1.2	0.3	3	0.6	2.3	0.5	4.4	1	3.5	0.8
05024	11	05	75.4798172475849	05	024	44472	11	44472	0.754798172475849	25	247.3466450800504	0.002473466450800504	0.21399999999999997	0.7833895172620507	2.4	0.5	1.9	0.4	4.8	1.1	3.8	0.8	7.2	1.6	5.7	1.2
05025	24	05	75.4798172475849	05	025	176327	24	176327	0.754798172475849	14	136.11074877925674	0.0013611074877925673	0.21399999999999997	0.7833895172620507	1.4	0.3	1.1	0.2	2.7	0.6	2.1	0.5	4	0.9	3.1	0.7
05026	1	05	75.4798172475849	05	026	3239	1	3239	0.754798172475849	31	308.73726458783574	0.0030873726458783574	0.21399999999999997	0.7833895172620507	3	0.7	2.4	0.5	6	1.3	4.7	1	8.9	2	7	1.5
